MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
5.19,100.78,206.25,2,104,240,0,102,255,7.49,40.52,63.54,121.28,40.22,133,149,212.34,95.61,81.44,9.17,8.78,24.24,214.08,99.14,94.12,220,100,100,7.05,3.67,7.22,6.22,I
27.1,53.88,125.54,24,42,112,18,22,89,15.69,39.42,59.85,70.07,35.35,58,56,226.6,76.66,51.14,19.69,13.72,23.06,230.37,78.38,45.1,240,100,34.9,6.92,5.85,6.69,7.72,I
11.01,119.11,219.92,7,125,109,0,124,255,13.44,49.29,41.13,136.46,37.99,17,154,209.55,95.35,87.46,14.08,5.45,13.13,209.62,96.97,92.94,210,100,100,7.02,4.8,7.46,6.28,I
37.33,98.12,75.74,40,90,67,45,83,57,17.76,32.8,30.22,82.74,24.17,76,72,155.75,60.29,38.56,18.98,18.17,12.87,159.66,57.265,35.29,130,100,32.55,6.45,5.98,6.65,6.69,N
14.9,98.87,84.24,13,91,75,0,43,27,14.13,57.77,51.75,83.96,47.81,77,28,169.46,77.73,39.02,30.1,22.57,22.56,170.21,85.09,35.69,180,100,11.37,7.48,5.2,7.73,7.56,N
51.69,95.86,87.99,47,91,85,0,99,91,33.03,40.32,37.72,87.82,37.14,84,80,172.98,50.6,38.05,13.39,17.83,15.71,170.53,48.05,36.08,170,100,38.82,7.19,6.87,7.27,7.21,N
106.14,150.71,190.68,121,37,80,129,179,219,38.43,40.95,41.92,157.94,37.93,44,181,209.39,47.11,76.23,12.51,12.44,14.26,210.4,42.58,81.96,210,66.67,85.88,6.81,6.85,6.93,6.79,H
38.83,120.89,207.31,35,3,95,15,151,228,25.89,49.5,41.36,136.56,40.51,19,157,210.81,82.61,82.51,13.81,10.27,13.62,209.68,84.33,87.84,209.52,100,89.41,7.2,6.56,7.47,6.58,I
61.71,59.49,64.96,62,58,65,62,58,65,7.21,17.09,8.52,60.45,5.45,61,62,278.93,13.5,26.52,33.83,9.45,6.46,273.33,12.28,25.88,260,12.5,25.49,4.45,4.4,4.53,4.71,H
158.1,164.95,168.27,42,45,52,184,187,187,33.66,30.85,35.02,165.76,26.79,47,188,171.55,12.33,69.42,84.41,15.47,10.41,202.5,7.19,71.37,180,0,74.12,6.13,6.08,6.34,6.44,H
